brand	legitimate_domain	homograph_unicode	homograph_punycode	technique	script	substitution
AWS	aws.amazon.com	avvs.amazon.com		ASCII-digraph	ASCII	w -> vv
AWS	aws.com	avvs.com		ASCII-digraph	ASCII	w -> vv
AWS	aws.amazon.com	4ws.amazon.com		ASCII-lookalike	ASCII	a -> 4
AWS	aws.com	4ws.com		ASCII-lookalike	ASCII	a -> 4
AWS	aws.amazon.com	aw5.amazon.com		ASCII-lookalike	ASCII	s -> 5
AWS	aws.com	aw5.com		ASCII-lookalike	ASCII	s -> 5
AWS	aws.amazon.com	awz.amazon.com		ASCII-lookalike	ASCII	s -> z
AWS	aws.com	awz.com		ASCII-lookalike	ASCII	s -> z
AWS	aws.amazon.com	awÑ•.amazon.com	xn--aw-foc.amazon.com	IDN-homoglyph	Cyrillic-dze	s -> U+0455
AWS	aws.com	awÑ•.com	xn--aw-foc.com	IDN-homoglyph	Cyrillic-dze	s -> U+0455
AWS	aws.amazon.com	aÑ¡s.amazon.com	xn--as-fpc.amazon.com	IDN-homoglyph	Cyrillic-omega	w -> U+0461
AWS	aws.com	aÑ¡s.com	xn--as-fpc.com	IDN-homoglyph	Cyrillic-omega	w -> U+0461
AWS	aws.amazon.com	É‘ws.amazon.com	xn--ws-4eb.amazon.com	IDN-homoglyph	Latin-alpha	a -> U+0251
AWS	aws.com	É‘ws.com	xn--ws-4eb.com	IDN-homoglyph	Latin-alpha	a -> U+0251
AWS	aws.amazon.com	Î±ws.amazon.com	xn--ws-b9b.amazon.com	IDN-homoglyph	Greek	a -> U+03B1
AWS	aws.com	Î±ws.com	xn--ws-b9b.com	IDN-homoglyph	Greek	a -> U+03B1
AWS	aws.amazon.com	Ð°ws.amazon.com	xn--ws-6kc.amazon.com	IDN-homoglyph	Cyrillic	a -> U+0430
AWS	aws.com	Ð°ws.com	xn--ws-6kc.com	IDN-homoglyph	Cyrillic	a -> U+0430
Adobe	adobe.com	aclobe.com		ASCII-digraph	ASCII	d -> cl
Adobe	adobe.com	4dobe.com		ASCII-lookalike	ASCII	a -> 4
Adobe	adobe.com	ad0be.com		ASCII-lookalike	ASCII	o -> 0
Adobe	adobe.com	ado8e.com		ASCII-lookalike	ASCII	b -> 8
Adobe	adobe.com	adob3.com		ASCII-lookalike	ASCII	e -> 3
Adobe	adobe.com	adobÎµ.com	xn--adob-omd.com	IDN-homoglyph	Greek-eps	e -> U+03B5
Adobe	adobe.com	adobÐµ.com	xn--adob-y4d.com	IDN-homoglyph	Cyrillic	e -> U+0435
Adobe	adobe.com	adobÑ”.com	xn--adob-e9d.com	IDN-homoglyph	Cyrillic-ie	e -> U+0454
Adobe	adobe.com	adoÐ¬e.com	xn--adoe-77d.com	IDN-homoglyph	Cyrillic-soft	b -> U+042C
Adobe	adobe.com	adoÐ²e.com	xn--adoe-i4d.com	IDN-homoglyph	Cyrillic-ve	b -> U+0432
Adobe	adobe.com	adÎ¿be.com	xn--adbe-1nd.com	IDN-homoglyph	Greek-omicron	o -> U+03BF
Adobe	adobe.com	adÐ¾be.com	xn--adbe-65d.com	IDN-homoglyph	Cyrillic	o -> U+043E
Adobe	adobe.com	adÖ…be.com	xn--adbe-wif.com	IDN-homoglyph	Armenian-oh	o -> U+0585
Adobe	adobe.com	aÔobe.com	xn--aobe-0ye.com	IDN-homoglyph	Cyrillic-komi	d -> U+0501
Adobe	adobe.com	É‘dobe.com	xn--dobe-p5b.com	IDN-homoglyph	Latin-alpha	a -> U+0251
Adobe	adobe.com	Î±dobe.com	xn--dobe-zld.com	IDN-homoglyph	Greek	a -> U+03B1
Adobe	adobe.com	Ð°dobe.com	xn--dobe-43d.com	IDN-homoglyph	Cyrillic	a -> U+0430
Amazon	amazon.com	annazon.com		ASCII-digraph	ASCII	m -> nn
Amazon	amazon.com	arnazon.com		ASCII-digraph	ASCII	m -> rn
Amazon	amazon.com	4mazon.com		ASCII-lookalike	ASCII	a -> 4
Amazon	amazon.com	am4zon.com		ASCII-lookalike	ASCII	a -> 4
Amazon	amazon.com	amaz0n.com		ASCII-lookalike	ASCII	o -> 0
Amazon	amazon.com	amazoÎ·.com	xn--amazo-ibe.com	IDN-homoglyph	Greek-eta	n -> U+03B7
Amazon	amazon.com	amazoÕ¸.com	xn--amazo-hig.com	IDN-homoglyph	Armenian-vo	n -> U+0578
Amazon	amazon.com	amazÎ¿n.com	xn--amazn-uce.com	IDN-homoglyph	Greek-omicron	o -> U+03BF
Amazon	amazon.com	amazÐ¾n.com	xn--amazn-mye.com	IDN-homoglyph	Cyrillic	o -> U+043E
Amazon	amazon.com	amazÖ…n.com	xn--amazn-okg.com	IDN-homoglyph	Armenian-oh	o -> U+0585
Amazon	amazon.com	amaÊon.com	xn--amaon-vuc.com	IDN-homoglyph	Latin-z-retro	z -> U+0290
